TAX PERIOD,NAICS,PRIMARY NAICS DESCRIPTION,LOCATION COUNT,TOTAL MEASURE
201600A,523110,Investment bankers & securities dealers,124,$285136892.00
200700A,561300,Employment services,5488,$1287684641.00
200500A,621330,Offices of mental health practitioners (except physicians),185,$16606702.00
201300A,424940,Tobacco & tobacco products,388,$71078655.00
201000A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",101,$32502003.00
201400A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),119,$145641942.00
201700A,453210,Office supplies & stationery stores,9,$210471.00
201400A,233210,Single Family Housing Construction (1997 NAICS),9135,$1861511165.78
201000A,487000,Scenic & sightseeing transportation,125,$19276665.00
201600A,424920,"Books, periodicals, & newspapers",539,$498895244.12
200800A,311600,Animal Slaughtering and Processing,10,$34340456.00
201600A,423940,"Jewelry, watch, precious stone, & precious metals",2639,$1090402890.88
201500A,235410,Masonry and Stone Contractors (1997 NAICS),106,$29965044.00
200600A,812910,Pet care (except veterinary) services,97,$11049308.00
200900A,541219,Other accounting services,2568,$748812354.08
201000A,541700,Scientific research & development services,167,$30132540.00
200700A,423910,Sporting & recreational goods & supplies,145,$93180198.00
200600A,234920,Power and Communication Transmission Line Construction (1997 NAICS),22,$2016989.00
200900A,999999,Unclassified establishments (unable to classify),1061,$275357027.14
201600A,522300,Activities related to credit intermediation (including loan brokers),788,$330479766.75
200700A,454111,Electronic shopping,209,$23487070.00
200900A,441120,Used car dealers,332,$111460692.00
201100A,453910,Pet & pet supplies stores,133,$65342765.00
201200A,235310,Electrical Contractors (1997 NAICS),2286,$519788858.32
200600A,333000,Machinery mfg.,33,$30735352.00
201500A,484200,Specialized freight trucking (including household moving vans),238,$22479182.00
200600A,445310,"Beer, wine & liquor stores",404,$131284930.00
201300A,541320,Landscape architecture services,919,$144209049.42
201100A,622000,Hospitals,174,$988648285.50
201400A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",555,$255717619.73
201500A,444120,Paint & wallpaper stores,87,$43422468.00
200700A,811420,Reupholstery & furniture repair,151,$19050796.00
201300A,621210,Offices of dentists,390,$96003773.00
200600A,424920,"Books, periodicals, & newspapers",299,$581803427.85
200700A,541920,Photographic services,1434,$138373146.90
200800A,441300,"Automotive parts, accessories, & tire stores",433,$139848354.00
200900A,484110,"General freight trucking, local",570,$115841698.00
201400A,451110,Sporting goods stores,367,$192602443.29
201200A,444120,Paint & wallpaper stores,84,$25209413.00
200900A,448110,Men's clothing stores,344,$78816729.00
201200A,812190,Other personal care services (including diet & weight reducing centers),759,$36006950.50
200800A,235410,Masonry and Stone Contractors (1997 NAICS),39,$14978694.00
200800A,713100,Amusement parks & arcades,30,$23911734.00
200800A,711510,"Independent artists, writers, & performers",6158,$630004957.26
201000A,813000,"Religious, grantmaking, civic, professional, & similar organizations",110,$3051772.00
201100A,541990,"All other professional, scientific, & technical services",7724,$994493637.75
200800A,541320,Landscape architecture services,734,$129122316.00
200800A,561790,Other services to buildings & dwellings,1015,$31600339.00
201100A,311800,Bakeries & tortilla mfg.,458,$99925947.00
201500A,424990,Other miscellaneous nondurable goods,3772,$1675703716.61
201500A,444190,Other building materials dealers,436,$1054277012.00
200900A,424100,Paper & paper products,220,$295454457.00
200800A,424920,"Books, periodicals, & newspapers",384,$803726801.00
201600A,423800,"Machinery, equipment, & supplies",800,$1006714797.39
200800A,325900,Other chemical products & preparation mfg.,71,$36639949.50
200800A,235520,Floor Laying and Other Floor Contractors (1997 NAICS),337,$101055494.00
201100A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",884,$148977133.12
201400A,337000,Furniture & related product mfg.,385,$154577046.00
201300A,722410,Drinking places (alcoholic beverages),234,$67385592.00
201000A,611000,"Educational services (including schools, colleges, & universities)",2403,$584347326.89
201000A,561300,Employment services,5527,$1225454020.48
201500A,561300,Employment services,5255,$1787559704.80
200800A,311800,Bakeries & tortilla mfg.,340,$88331317.00
200900A,523900,Other financial investment activities (including investment advice),1455,$5706347839.42
201400A,812112,Beauty salons,1487,$57527413.61
201100A,813000,"Religious, grantmaking, civic, professional, & similar organizations",108,$3559015.00
201700A,541100,Legal services,334,$147580155.00
200900A,518111,Internet service providers,145,$119270588.00
201200A,541910,Market research & public opinion polling,313,$176564162.82
200900A,541380,Testing laboratories,54,$36785269.00
200800A,722300,Special food services (including food service contractors & caterers),582,$144602492.96
201600A,511000,Publishing industries (except Internet),311,$273420021.60
200700A,235420,"Drywall, Plastering, Acoustical, and Insulation Contractors (1997 NAICS)",325,$284920834.00
200800A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),566,$180389623.40
200600A,423400,Professional & commercial equipment & supplies,807,$1569083777.43
200500A,441300,"Automotive parts, accessories, & tire stores",151,$76837003.24
201300A,233210,Single Family Housing Construction (1997 NAICS),8344,$1636711050.82
201700A,453310,Used merchandise stores,5,$6000.00
201400A,561450,Credit bureaus,26,$6856594.00
200600A,424990,Other miscellaneous nondurable goods,2332,$1693403401.24
201200A,621310,Offices of chiropractors,623,$81675847.62
201400A,623000,Nursing & residential care facilities,634,$755046885.40
201400A,522100,"Depository credit intermediation (including commercial banking, savings institutions, & credit unions)",85,$91442854.00
200900A,541510,Computer systems design & related services,1843,$634137832.13
200600A,453310,Used merchandise stores,209,$36750963.00
201200A,445230,Fruit & vegetable markets,480,$1324777381.00
201600A,812920,Photofinishing,146,$4732245.00
200700A,888888,Medical Marijuana Collective,193,$4434122.00
201500A,812920,Photofinishing,156,$10781784.00
201400A,621320,Offices of optometrists,177,$58424484.00
201400A,445310,"Beer, wine & liquor stores",658,$208196270.92
201600A,811110,Automotive mechanical & electrical repair & maintenance,2267,$277224572.00
201400A,812910,Pet care (except veterinary) services,533,$46315044.50
201600A,561450,Credit bureaus,26,$3520987.00
200600A,311600,Animal Slaughtering and Processing,5,$21347980.00
200500A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",1303,$172397883.85
201000A,444120,Paint & wallpaper stores,76,$26677447.00
201700A,423920,Toy & hobby goods & supplies,6,$3062405.00
200900A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5942,$2742468370.08
201600A,115210,Support activities for animal production (including farriers),280,$30028567.00
200700A,448320,Luggage & leather goods stores,46,$13278465.00
201200A,424210,Drugs & druggists' sundries,223,$479201678.00
201300A,523140,Commodity contracts brokers,22,$17877031.00
200900A,621310,Offices of chiropractors,548,$79597801.35
201500A,331000,Primary metal mfg.,93,$31190547.00
201100A,485210,Interurban & rural bus transportation,26,$24341096.00
201600A,532100,Automotive equipment rental & leasing,452,$884921451.00
201200A,444200,Lawn & garden equipment & supplies stores,112,$38392970.00
201700A,541990,"All other professional, scientific, & technical services",480,$20202984.00
201000A,311600,Animal Slaughtering and Processing,12,$26845109.00
200600A,532230,Video tape & disc rental,68,$8812610.00
201000A,445290,Home furnishings stores,654,$366814121.58
200600A,448190,Other Clothing Stores,345,$101268802.44
200600A,492000,Couriers & messengers,345,$8135518.00
201300A,339900,Other miscellaneous mfg.,1957,$672943213.24
201600A,523130,Commodity contracts dealers,56,$20863108.00
200500A,445290,Home furnishings stores,645,$328826519.00
201200A,313000,Textile mills,129,$45086493.16
201200A,621510,Medical & diagnostic laboratories,473,$583720609.00
201500A,335000,"Electrical equipment, appliance, & component mfg.",631,$230532483.37
200600A,532290,Other consumer goods rental,1634,$348374391.00
200600A,511000,Publishing industries (except Internet),132,$204311385.00
201200A,314000,Textile product mills,501,$317771888.22
200800A,453920,Art dealers,373,$23867415.00
200800A,235920,Glass and Glazing Contractors (1997 NAICS),132,$33883716.00
201000A,532310,General rental centers,56,$31383353.00
200800A,523140,Commodity contracts brokers,23,$21389193.00
200600A,445210,Meat markets,36,$10732073.00
201000A,532290,Other consumer goods rental,2908,$725184316.47
200500A,235410,Masonry and Stone Contractors (1997 NAICS),17,$999035.00
201600A,451110,Sporting goods stores,367,$216823025.00
200600A,339110,Medical equipment & supplies mfg.,161,$96344566.04
201500A,454112,Electronic auctions,36,$1780746.00
200600A,541310,Architectural services,824,$424299397.59
200700A,541930,Translation & interpretation services,106,$9295622.00
201500A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),1157,$115867490.00
201500A,451130,"Sewing, needlework, & piece goods stores",86,$15390405.00
201000A,454111,Electronic shopping,301,$22677897.75
201700A,811410,Home & garden equipment & appliance repair & maintenance,12,$1853755.00
200600A,523110,Investment bankers & securities dealers,33,$119411251.00
201500A,454111,Electronic shopping,672,$51987554.32
201100A,326000,Plastics & rubber products mfg.,104,$75024713.00
201200A,512200,Sound recording industries,1175,$450599252.62
200900A,445310,"Beer, wine & liquor stores",475,$157332695.35
201600A,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",5961,$708514292.02
201000A,561110,Office administrative services,1239,$609620600.96
201000A,512100,Motion picture & video industries (except video rental),6069,$11096882030.07
201200A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",651,$1094744440.54
201000A,326000,Plastics & rubber products mfg.,85,$72923323.00
200500A,713200,Gambling industries,2,$0.00
201300A,423100,Motor vehicle & motor vehicle parts & supplies,895,$1931600414.00
201500A,424100,Paper & paper products,247,$286202036.00
200500A,333000,Machinery mfg.,26,$25344297.06
201300A,444190,Other building materials dealers,401,$949570798.00
201600A,812930,Parking lots & garages,2008,$585483624.79
201000A,541100,Legal services,5782,$7244344410.47
201700A,315000,Apparel mfg.,82,$5638178.00
201300A,541219,Other accounting services,3116,$967189774.87
200700A,322000,Paper mfg.,25,$12873600.00
201400A,453220,"Gift, novelty, & souvenir stores",1197,$241635179.00
201000A,541330,Engineering services,1058,$576212249.97
200800A,448140,Family clothing stores,714,$440365411.00
200500A,512100,Motion picture & video industries (except video rental),2398,$3746680161.29
201100A,812113,Nail salons,1914,$66350523.30
201500A,621900,"Other ambulatory health care services (including ambulance services, blood, & organ banks)",423,$2150128828.91
201000A,722300,Special food services (including food service contractors & caterers),958,$172140615.00
200800A,453210,Office supplies & stationery stores,248,$319047141.00
200700A,453920,Art dealers,305,$13550562.98
201700A,211110,Oil & gas extraction,4,$0.00
201400A,234920,Power and Communication Transmission Line Construction (1997 NAICS),54,$49255933.00
201200A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5860,$2255274077.03
201600A,442110,Furniture stores,919,$609676840.00
201200A,331000,Primary metal mfg.,63,$15814386.00
201700A,811430,Footwear & leather goods repair,3,$0.00
200600A,339900,Other miscellaneous mfg.,378,$175448521.00
201700A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",131,$16271126.00
200500A,532290,Other consumer goods rental,1227,$282440969.54
200800A,311400,Fruit & vegetable preserving & speciality food mfg.,88,$78116433.00
201700A,492000,Couriers & messengers,37,$870453.00
200700A,442200,Home furnishings stores,638,$627414734.00
201000A,451120,"Hobby, toy, & game stores",179,$92775353.00
201000A,561730,Landscaping services,2818,$95385264.58
201400A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1180,$437946192.60
200500A,811490,Other personal &  household goods repair & maintenance,390,$12191812.00
200900A,424920,"Books, periodicals, & newspapers",414,$711949700.00
201100A,722110,Full-service restaurants,5940,$3643955789.02
201500A,444130,Hardware stores,434,$714638210.00
201700A,621340,"Offices of physical, occupational & speech therapists, & audiologists",76,$2881295.00
200900A,711100,Performing arts companies,323,$147621755.00
200600A,441300,"Automotive parts, accessories, & tire stores",235,$106356528.16
201200A,812113,Nail salons,2034,$75400899.54
201200A,541600,"Management, scientific, & technical consulting services",9259,$1882843485.46
200600A,423920,Toy & hobby goods & supplies,156,$124542761.90
201100A,448310,Jewelry stores,1036,$189397737.04
200500A,233310,Manufacturing and Industrial Building Construction (1997 NAICS),99,$181152797.79
200800A,541940,Veterinary services,174,$184161620.00
201100A,453110,Florists,400,$35563867.00
201400A,722300,Special food services (including food service contractors & caterers),2008,$415709036.00
201400A,423300,Lumber & other construction materials,272,$632025359.73
200800A,561440,Collection agencies,99,$80700819.00
201700A,445290,Home furnishings stores,6,$565320.00
201400A,812113,Nail salons,2336,$96720446.40
201600A,561730,Landscaping services,3672,$149407786.58
201300A,235910,Structural Steel Erection Contractors (1997 NAICS),126,$125940151.00
201600A,621310,Offices of chiropractors,712,$90806139.24
201100A,812910,Pet care (except veterinary) services,342,$26389722.67
200500A,888888,Medical Marijuana Collective,10,$185920.00
200900A,321000,Wood product mfg.,105,$11410790.00
200800A,238110,Poured concrete foundation & structure contractors,164,$206939196.65
200500A,337000,Furniture & related product mfg.,60,$24596522.00
201100A,621400,Outpatient  care centers,354,$247756431.22
201200A,812930,Parking lots & garages,1409,$414696238.99
201300A,532290,Other consumer goods rental,3891,$1026909905.06
201000A,541940,Veterinary services,213,$204989974.00
200600A,541380,Testing laboratories,25,$38876943.41
201500A,621320,Offices of optometrists,183,$66751500.00
201700A,444200,Lawn & garden equipment & supplies stores,4,$0.00
201300A,541910,Market research & public opinion polling,386,$234518001.72
201000A,424210,Drugs & druggists' sundries,219,$365668712.00
201000A,424500,Farm product raw materials,49,$81821516.00
201200A,448120,Women's clothing stores,507,$157445220.00
200700A,424210,Drugs & druggists' sundries,191,$269845152.49
200800A,238990,All other specialty trade contractors,1814,$546204572.50
201400A,314000,Textile product mills,619,$358371214.12
200700A,721310,Rooming & boarding houses,252,$188135213.00
201200A,713200,Gambling industries,11,$9210488.00
201200A,512100,Motion picture & video industries (except video rental),7825,$6095055299.47
201500A,448310,Jewelry stores,1408,$317348946.94
200600A,999999,Unclassified establishments (unable to classify),397,$35092134.11
201400A,454112,Electronic auctions,33,$1027006.14
201700A,311800,Bakeries & tortilla mfg.,16,$2919765.00
200900A,424700,Petroleum & petroleum products,62,$2469636169.00
200800A,624200,"Community food & housing, & emergency & other relief services",57,$740433.51
200900A,233210,Single Family Housing Construction (1997 NAICS),5725,$1303667946.46
201300A,541930,Translation & interpretation services,280,$33947330.00
201600A,561720,Janitorial services,10965,$550741914.23
200700A,541211,Offices of certified public accountants,327,$298958859.43
201000A,621400,Outpatient  care centers,330,$218286975.00
201000A,541510,Computer systems design & related services,2046,$567512194.62
200800A,541340,Drafting services,89,$2201293.28
200600A,561210,Facilities support (management) services,57,$28016720.00
200900A,331000,Primary metal mfg.,39,$32508021.00
201400A,561710,Exterminating & pest control services,251,$78336235.00
201700A,337000,Furniture & related product mfg.,11,$1028589.00
200900A,443130,Camera & photographic supplies stores,96,$15502581.00
201300A,424990,Other miscellaneous nondurable goods,3429,$1708891838.30
200800A,523130,Commodity contracts dealers,29,$3215520.09
201000A,541600,"Management, scientific, & technical consulting services",7897,$1713993508.27
201400A,541800,Advertising & related services,2512,$1778854079.17
200800A,451211,Book stores,298,$124389871.00
200500A,484110,"General freight trucking, local",363,$83849487.00
200700A,812310,Coin-operated laundries & drycleaners,428,$75443229.00
201700A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",34,$4716310.00
200600A,531310,Real estate property managers,1305,$280168955.54
201400A,492000,Couriers & messengers,1452,$105426446.43
201500A,562000,Waste management & remediation services,243,$214906804.00
200800A,811410,Home & garden equipment & appliance repair & maintenance,183,$7081089.50
200900A,541214,Payroll services,52,$11124209.00
201500A,811310,Commercial & industrial machinery & equipment (except automotive & electronic) repair & maintenance,376,$245075630.90
201500A,531320,Offices of real estate appraisers,169,$11732498.00
200600A,561730,Landscaping services,2120,$71213870.40
201400A,561410,Document preparation services,224,$21638254.13
200800A,722110,Full-service restaurants,5264,$3555521310.00
201000A,517000,Telecommunications,183,$1255585364.00
201000A,541310,Architectural services,1027,$556848721.00
200900A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),773,$532404592.00
200900A,424600,Chemical & allied products,226,$1011981242.00
201500A,,,121720,$28330182828.78
201100A,812330,Linen & uniform supply,43,$81025171.00
201700A,424920,"Books, periodicals, & newspapers",19,$6688230.00
201100A,451140,Musical instrument & supplies stores,204,$52020653.00
201000A,446130,Optical goods stores,195,$100933456.00
200700A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",84,$22222918.00
201300A,812930,Parking lots & garages,1561,$448154142.60
200500A,621400,Outpatient  care centers,241,$122371147.66
200700A,541214,Payroll services,37,$3841509.13
201300A,445220,Fish & seafood markets,72,$87708857.00
200800A,453310,Used merchandise stores,216,$36388493.00
200500A,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",1960,$842160490.41
201200A,325100,Basic chemical mfg.,29,$17300525.42
201700A,238340,Tile & terrazzo contractors,8,$1049540.00
201400A,423100,Motor vehicle & motor vehicle parts & supplies,921,$2067990398.49
201100A,561740,Carpet & upholstery cleaning services,535,$29325533.40
201000A,237210,Land subdivision,244,$170751766.33
201200A,454112,Electronic auctions,19,$894513.00
201500A,235920,Glass and Glazing Contractors (1997 NAICS),205,$37642274.00
201700A,443130,Camera & photographic supplies stores,2,$0.00
200600A,332000,Fabricated metal product mfg.,158,$294404590.00
201200A,423100,Motor vehicle & motor vehicle parts & supplies,892,$1704246861.36
201700A,532310,General rental centers,1,$0.00
201000A,423930,Recyclable materials,223,$196158666.00
200900A,519100,Other information services (including news syndicates and libraries),363,$122666414.00
201100A,561420,Telephone call centers (including telephone answering services & telemarketing bureaus),97,$156535521.00
201100A,452000,General merchandise stores,3779,$2534836153.24
200900A,621340,"Offices of physical, occupational & speech therapists, & audiologists",491,$39300254.00
201700A,311400,Fruit & vegetable preserving & speciality food mfg.,12,$5482501.00
201200A,523140,Commodity contracts brokers,23,$22465270.00
201100A,322000,Paper mfg.,50,$16632059.00
200700A,234120,Bridge and Tunnel Construction (1997 NAICS),73,$25220804.00
201700A,454113,Mail-order houses,2,$0.00
201500A,523900,Other financial investment activities (including investment advice),2599,$5945237240.46
201000A,448210,Shoe stores,351,$171832546.50
201400A,711410,"Agents & managers for artists, athletes, entertainers, & other public figures",1493,$274647370.90
200900A,531310,Real estate property managers,2100,$635125336.12
200900A,448120,Women's clothing stores,308,$70856289.00
201200A,721310,Rooming & boarding houses,301,$295208000.00
200900A,812930,Parking lots & garages,1084,$362019753.55
201600A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),742,$201845917.34
201400A,524210,Insurance agencies & brokerages,1115,$581305466.60
201700A,234910,"Water, Sewer, and Pipeline Construction (1997 NAICS)",4,$0.00
201000A,811430,Footwear & leather goods repair,148,$5974771.00
200800A,423930,Recyclable materials,163,$288463968.00
201400A,811210,Electronic & precision equipment repair & maintenance,429,$53433647.00
201000A,999999,Unclassified establishments (unable to classify),1263,$82581074.91
200500A,517000,Telecommunications,122,$1108379025.00
200500A,453110,Florists,327,$35842889.00
200500A,812190,Other personal care services (including diet & weight reducing centers),172,$16862456.00
201000A,561490,"Other business support services (including repossession services, court reporting, & stenotype services)",713,$128726968.50
201500A,488000,Support activities for transportation (including motor vehicle towing),1253,$1511719477.17
201300A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",1011,$349410838.00
200900A,722110,Full-service restaurants,5549,$3650374479.00
201700A,445220,Fish & seafood markets,1,$0.00
201500A,453930,Manufacture (mobile) home dealers,63,$34903201.00
200900A,441110,New car dealers,348,$3045792271.65
201600A,336000,Transportation equipment mfg.,86,$121673634.00
200700A,451211,Book stores,261,$120648094.00
201700A,235410,Masonry and Stone Contractors (1997 NAICS),3,$0.00
200800A,811210,Electronic & precision equipment repair & maintenance,219,$24805211.00
200500A,423500,Metal & mineral (except petroleum),236,$285861366.21
201500A,115310,Support activities for forestry,821,$120436204.00
200500A,311900,"Other food mfg. (including coffee, tea, flavoring, & seasonings)",50,$71071882.64
201300A,444120,Paint & wallpaper stores,83,$29383764.00
201400A,234990,Other Heavy and Civil Engineering Construction,87,$67034142.00
200700A,446120,"Cosmetics, beauty supplies, & perfume stores",325,$136383546.27
201600A,233320,Commercial and Institutional Building Construction (1997 NAICS),789,$1337642827.52
201300A,722211,Limited-service eating places,1373,$528337464.00
201300A,453930,Manufacture (mobile) home dealers,56,$21675096.00
201500A,485990,Other transit & ground passenger transportation,597,$18473996.00
200600A,423990,Other miscellaneous durable goods,1065,$579679418.05
201600A,424500,Farm product raw materials,51,$103848123.00
200700A,621340,"Offices of physical, occupational & speech therapists, & audiologists",321,$19252406.89
201700A,446120,"Cosmetics, beauty supplies, & perfume stores",28,$1407745.00
201000A,423700,"Hardware, & plumbing & heating equipment  & supplies",182,$300883164.86
200800A,442200,Home furnishings stores,678,$581758147.00
200500A,424700,Petroleum & petroleum products,50,$1251332471.00
200500A,811190,Other automotive repair & maintenance (including oil change & lubrication shops & car washes),214,$19619227.25
201200A,423990,Other miscellaneous durable goods,2035,$764563984.69
200800A,492000,Couriers & messengers,591,$12716383.00
201700A,813000,"Religious, grantmaking, civic, professional, & similar organizations",9,$232708.00
201700A,541330,Engineering services,76,$8209867.00
201300A,235920,Glass and Glazing Contractors (1997 NAICS),176,$28191579.00
200800A,453110,Florists,382,$42629356.00
201100A,447100,Gasoline stations (including convenience stores with gas),504,$2293705363.09
201100A,443112,"Radio, television, & other electronics stores",737,$304614449.00
200800A,493100,Warehousing & storage (except leases of mini warehouses & self-storage units),725,$467644565.40
200700A,424100,Paper & paper products,207,$316328959.00
200800A,443130,Camera & photographic supplies stores,90,$20826238.00
201500A,624410,Child day care services,2381,$188746550.72
201700A,541350,Building inspection services,11,$630711.00
200600A,454310,Fuel dealers,50,$208695695.00
201400A,531100,Lessors of real estate (including mini warehouses & self-storage units),37905,$13314604408.08
201300A,561720,Janitorial services,10280,$446612893.76
201400A,812990,All other personal services,20434,$1004916885.26
201100A,115310,Support activities for forestry,437,$53120555.00
201700A,441300,"Automotive parts, accessories, & tire stores",19,$1070961.00
201600A,423300,Lumber & other construction materials,260,$752278519.00
201500A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),771,$201493893.63
200700A,334000,Computer & electronic product mfg.,524,$272968596.00
201500A,453110,Florists,474,$54685089.00
200700A,562000,Waste management & remediation services,121,$138250692.25
200800A,454310,Fuel dealers,62,$465963697.00
201000A,523130,Commodity contracts dealers,38,$3899177.04
200500A,561790,Other services to buildings & dwellings,358,$14649867.00
201300A,339110,Medical equipment & supplies mfg.,397,$275361379.00
201700A,424300,"Apparel, piece goods, & notions",37,$10238677.00
201400A,312000,Beverage & tobacco product mfg.,38,$41261653.00
200500A,561440,Collection agencies,72,$56387637.00
201400A,811490,Other personal &  household goods repair & maintenance,1409,$72453672.50
200600A,453110,Florists,342,$39404196.00
200500A,444120,Paint & wallpaper stores,59,$19021011.09
201000A,484110,"General freight trucking, local",602,$112247022.30
201700A,522200,Nondepository credit intermediation (including sales financing & consumer lending),13,$635739.00
201100A,448140,Family clothing stores,963,$471088999.01
200600A,237210,Land subdivision,136,$315220179.00
200500A,532210,Consumer electronics & appliances rental,598,$510844605.49
201300A,541211,Offices of certified public accountants,742,$549891171.00
201300A,445100,Grocery stores (including supermarkets & convenience stores without gas),1616,$5620902345.35
201100A,621330,Offices of mental health practitioners (except physicians),737,$58994636.61
201000A,721310,Rooming & boarding houses,285,$228080344.00
200900A,423100,Motor vehicle & motor vehicle parts & supplies,903,$1528011432.00
200700A,337000,Furniture & related product mfg.,119,$47415768.00
200700A,517000,Telecommunications,149,$1078084383.00
201600A,621400,Outpatient  care centers,595,$400277452.69
201300A,446190,Other health & personal care stores,614,$278765315.00
200900A,711210,Spectator sports (including professional sports clubs & racetrack operations),223,$569498067.36
201400A,442110,Furniture stores,1041,$539301950.79
201600A,441221,Motorcycle dealers,48,$44475030.02
201200A,812320,Drycleaning & laundry services (except coin-operated) (including laundry & drycleaning drop-off & pickup sites),668,$172333847.90
201200A,561900,"Other support services (including packaging & labeling services, & convention & trade show organizers)",232,$30186034.32
201500A,561500,Travel arrangement & reservation services,5824,$830435451.68
201000A,314000,Textile product mills,423,$241626077.80
200600A,561430,Business service centers (including private mail centers & copy shops),227,$100657295.58
201400A,424400,Grocery & related products,1433,$5523103736.82
201500A,621340,"Offices of physical, occupational & speech therapists, & audiologists",1286,$115690011.00
200900A,531390,Other activities related to real estate,526,$175235227.16
200600A,445220,Fish & seafood markets,17,$10671671.00
201200A,532230,Video tape & disc rental,247,$19421637.00
201200A,524290,Other insurance related activities,181,$348419188.00
201000A,448140,Family clothing stores,959,$398538795.00
200800A,485510,Charter bus industry,32,$423340.00
200700A,541700,Scientific research & development services,93,$17460342.00
201000A,453990,"All other miscellaneous store retailers (including tobacco, candle, & trophy shops)",5904,$2343721177.06
200600A,445100,Grocery stores (including supermarkets & convenience stores without gas),1297,$4021865465.00
200600A,423940,"Jewelry, watch, precious stone, & precious metals",1735,$1242295975.08
201700A,532290,Other consumer goods rental,169,$14802327.00
200600A,811210,Electronic & precision equipment repair & maintenance,137,$19627832.00
201100A,312000,Beverage & tobacco product mfg.,26,$39281432.00
200500A,325900,Other chemical products & preparation mfg.,27,$15465515.00
201600A,424300,"Apparel, piece goods, & notions",3302,$3132821779.43
200700A,445310,"Beer, wine & liquor stores",437,$141919835.00
200600A,561440,Collection agencies,76,$48848315.00
200800A,321000,Wood product mfg.,85,$13858392.00
200900A,523210,Securities & commodity exchanges,9,$41228526.00
200900A,233320,Commercial and Institutional Building Construction (1997 NAICS),416,$1073935022.66
201300A,423200,Furniture &  home furnishing,475,$265581803.00
201300A,423920,Toy & hobby goods & supplies,286,$113231054.00
200600A,713900,"Other amusement & recreation services (including golf courses, skiing facilities, marinas, fitness centers, bowling centers, skating rinks, miniature golf courses)",587,$262456089.30
201600A,561300,Employment services,4592,$1835431100.56
201400A,621510,Medical & diagnostic laboratories,574,$628580236.38
201100A,524210,Insurance agencies & brokerages,923,$488803904.10
200500A,711210,Spectator sports (including professional sports clubs & racetrack operations),33,$431179712.38
201100A,237210,Land subdivision,228,$273260719.60
201500A,425120,Wholesale trade agents & brokers,1879,$1160347218.37
200700A,235930,Excavation Contractors (1997 NAICS),44,$114699834.00
200600A,451110,Sporting goods stores,208,$146911007.00
200800A,339900,Other miscellaneous mfg.,848,$274262923.15
200700A,453220,"Gift, novelty, & souvenir stores",790,$133296744.00
200900A,311300,Sugar & confectionery product mfg.,52,$403923.00
201600A,233220,Multifamily Housing Construction (1997 NAICS),848,$2491205517.98
201500A,532290,Other consumer goods rental,4373,$1234588158.36
201200A,237210,Land subdivision,231,$371055286.00
201400A,517000,Telecommunications,184,$1062286787.43
201000A,423910,Sporting & recreational goods & supplies,208,$93788751.00
201300A,532230,Video tape & disc rental,248,$23297510.00
201600A,237210,Land subdivision,308,$759913692.00
200900A,484200,Specialized freight trucking (including household moving vans),91,$4940840.00
201500A,541350,Building inspection services,150,$8989847.00
200900A,541910,Market research & public opinion polling,192,$151964406.00
200800A,812930,Parking lots & garages,983,$331757039.00
200700A,234920,Power and Communication Transmission Line Construction (1997 NAICS),31,$4327570.00
200800A,424600,Chemical & allied products,223,$947269168.00
201400A,453110,Florists,427,$46354565.00
200800A,622000,Hospitals,125,$817134301.00
200500A,721100,"Traveler accommodation (including hotels, motels, & bed & breakfast inns)",487,$656386089.35
201100A,561440,Collection agencies,117,$53288420.00
201000A,453910,Pet & pet supplies stores,119,$62794810.00
201600A,448150,Clothing accessories stores,1285,$354133589.19
200900A,423300,Lumber & other construction materials,275,$656497223.00
201400A,518111,Internet service providers,271,$785783859.11
201600A,513322,Cellular and Other Wireless Telecommunications,41,$624203726.00
201500A,523120,Securities brokers,156,$758086012.00
200800A,812310,Coin-operated laundries & drycleaners,457,$77404650.00
201500A,445230,Fruit & vegetable markets,541,$1503051543.00
201400A,335000,"Electrical equipment, appliance, & component mfg.",540,$182073069.14
201400A,513322,Cellular and Other Wireless Telecommunications,37,$1090239355.00
201200A,485510,Charter bus industry,42,$26658145.00
